network_packet_size,protocol_type,login_attempts,failed_logins,unusual_time_access,ip_reputation_score,session_duration,network_traffic_volume,attack_detected
1500,UDP,1,1,0,0.015,33,1423,0
1276,UDP,2,0,0,0.1762,82,2780,0
1249,TCP,1,1,0,0.1338,56,2366,0
503,HTTP,2,1,0,0.05,64,1106,0
4511,ICMP,19,18,1,0.8401,4,111350,1
660,UDP,3,0,0,0.1419,108,4393,0
180,UDP,2,1,0,0.0385,151,750,0
241,UDP,1,1,0,0.113,107,2270,0
1182,UDP,3,0,0,0.1747,178,3742,0
330,UDP,1,1,0,0.221,134,4971,0
301,HTTP,1,1,0,0.078,146,2194,0
961,TCP,2,1,0,0.1392,104,679,0
674,ICMP,8,5,0,0.6522,15,256,0
446,TCP,3,0,0,0.0943,139,2786,0
436,UDP,3,0,0,0.1684,170,3501,0
987,UDP,3,0,0,0.0219,138,3053,0
153,HTTP,3,1,0,0.0812,175,1559,0
729,UDP,1,0,0,0.2202,170,3162,0
8878,TCP,11,7,1,0.761,5,451232,1
307,TCP,3,0,0,0.2383,51,1287,0
403,ICMP,9,3,0,0.5103,26,778,0
483,TCP,1,1,0,0.0486,164,2611,0
337,UDP,2,1,0,0.2252,71,2130,0
518,HTTP,3,1,0,0.0081,45,1521,0
513,TCP,3,1,0,0.0227,42,1398,0
926,HTTP,1,1,0,0.1582,80,1973,0
1177,HTTP,2,1,0,0.0073,88,4183,0
571,UDP,2,0,0,0.223,68,541,0
764,TCP,4,3,0,0.585,12,358,0
358,TCP,2,1,0,0.1777,168,2359,0
1224,HTTP,3,0,0,0.2312,174,1327,0
1070,TCP,2,1,0,0.0738,143,3208,0
601,UDP,3,1,0,0.031,103,3917,0
1177,HTTP,1,0,0,0.0847,151,3064,0
593,UDP,6,4,1,0.4662,20,185,0
140,TCP,5,4,1,0.546,30,166,0
736,HTTP,3,1,0,0.229,97,3192,0
2455,TCP,23,20,1,0.7932,1,56744,1
488,HTTP,3,1,0,0.0793,119,2740,0
1051,UDP,3,1,0,0.1231,177,2750,0
306,UDP,8,5,1,0.5205,12,461,0
223,HTTP,1,0,0,0.2132,42,591,0
793,ICMP,7,3,0,0.6882,12,538,0
250,TCP,1,1,0,0.0241,125,1565,0
653,HTTP,3,0,0,0.1106,159,551,0
1003,HTTP,3,1,0,0.2359,143,1692,0
177,TCP,4,5,1,0.6583,13,141,0
473,HTTP,3,1,0,0.2082,84,2985,0
3224,TCP,10,15,1,0.9776,1,291930,1
526,ICMP,5,5,1,0.6982,27,434,0
7120,TCP,18,8,1,0.7881,5,228723,1
314,UDP,7,2,1,0.4588,21,459,0
406,HTTP,3,0,0,0.0954,162,864,0
472,TCP,2,1,0,0.1744,97,1257,0
578,TCP,3,1,0,0.2075,124,4977,0
1414,UDP,2,1,0,0.1486,31,3198,0
769,TCP,9,5,0,0.6875,20,250,0
205,HTTP,1,1,0,0.0739,97,4936,0
893,HTTP,3,1,0,0.1738,83,2086,0
350,UDP,9,2,0,0.6601,9,367,0
598,TCP,2,0,0,0.1397,158,2910,0
996,UDP,3,0,0,0.1796,128,4549,0
1647,ICMP,17,7,1,0.8447,3,420437,1
755,TCP,3,1,0,0.1277,153,2779,0
475,UDP,9,4,0,0.6986,10,332,0
1007,TCP,2,0,0,0.0912,90,2342,0
108,UDP,2,0,0,0.0759,170,2774,0
297,UDP,3,1,0,0.1319,110,3683,0
1350,UDP,3,0,0,0.2014,81,1439,0
578,UDP,2,0,0,0.0276,172,986,0
524,TCP,1,0,0,0.0116,151,1096,0
1121,HTTP,1,0,0,0.1811,147,3675,0
129,TCP,9,2,1,0.4042,15,392,0
565,ICMP,5,3,0,0.5489,16,163,0
836,TCP,2,1,0,0.1456,166,4650,0
812,TCP,2,0,0,0.0378,77,2277,0
1350,HTTP,2,0,0,0.1886,148,597,0
717,UDP,3,1,0,0.2419,92,3169,0
682,UDP,1,1,0,0.1256,162,4588,0
1314,TCP,2,0,0,0.1495,126,1178,0
802,HTTP,1,1,0,0.0921,148,4637,0
1226,UDP,2,0,0,0.0756,126,1870,0
6196,TCP,23,16,1,0.8515,1,127805,1
728,UDP,2,1,0,0.0118,139,2584,0
1094,HTTP,3,1,0,0.1848,91,1894,0
1299,HTTP,1,0,0,0.0718,151,2319,0
455,TCP,1,1,0,0.1195,160,1417,0
691,ICMP,9,4,0,0.6823,21,442,0
372,HTTP,3,1,0,0.0567,78,4777,0
760,UDP,2,0,0,0.2018,133,2239,0
132,UDP,5,5,0,0.6343,15,275,0
3647,TCP,23,9,1,0.8124,4,206366,1
1486,HTTP,2,0,0,0.2139,60,1932,0
884,UDP,2,0,0,0.1429,177,2372,0
1005,UDP,3,0,0,0.0442,40,3647,0
358,TCP,1,0,0,0.1542,100,3730,0
285,TCP,4,4,0,0.4311,5,389,0
771,ICMP,4,2,0,0.6595,20,714,0
1494,TCP,1,1,0,0.1954,176,2375,0
2780,ICMP,19,6,1,0.9342,3,355528,1
403,HTTP,2,0,0,0.02,147,3307,0
2732,TCP,11,11,1,0.8758,4,289090,1
126,UDP,3,1,0,0.0452,146,1135,0
1137,HTTP,3,0,0,0.091,102,3673,0
7855,TCP,17,16,1,0.8934,1,250925,1
479,UDP,1,0,0,0.2343,110,3431,0
700,UDP,3,0,0,0.1888,59,914,0
1423,HTTP,1,1,0,0.2412,62,4614,0
4344,TCP,21,14,1,0.891,1,483096,1
930,HTTP,3,1,0,0.0387,105,2283,0
1420,TCP,3,1,0,0.0767,125,2343,0
680,TCP,1,0,0,0.105,147,1014,0
510,ICMP,4,5,1,0.5588,18,343,0
262,TCP,3,1,0,0.1312,103,4030,0
208,TCP,6,4,1,0.465,26,153,0
107,TCP,1,1,0,0.2132,110,3422,0
157,HTTP,1,1,0,0.1518,60,4642,0
810,HTTP,3,0,0,0.2424,102,4177,0
951,UDP,2,1,0,0.204,57,3637,0
250,HTTP,2,0,0,0.1134,161,3903,0
930,HTTP,1,0,0,0.2058,125,1232,0
82,UDP,3,0,0,0.2321,115,2831,0
231,HTTP,1,1,0,0.2086,50,2753,0
702,UDP,1,1,0,0.0673,43,1621,0
618,UDP,8,2,1,0.4013,15,180,0
1260,UDP,3,1,0,0.1671,163,4822,0
8530,TCP,21,6,1,0.9429,2,110718,1
224,UDP,4,4,1,0.4023,9,146,0
1428,UDP,3,0,0,0.0058,62,1376,0
1038,HTTP,3,0,0,0.0595,139,4164,0
230,HTTP,3,0,0,0.2292,109,3710,0
638,TCP,3,1,0,0.1665,61,1612,0
1195,TCP,2,1,0,0.0667,145,1194,0
175,TCP,3,0,0,0.2172,103,612,0
497,HTTP,3,0,0,0.155,86,1621,0
1300,HTTP,2,0,0,0.1256,147,2756,0
477,HTTP,1,1,0,0.0799,47,1212,0
1146,UDP,3,1,0,0.2451,60,2563,0
510,UDP,1,1,0,0.0671,102,3266,0
72,UDP,8,4,0,0.4927,16,297,0
450,UDP,9,3,0,0.4315,7,790,0
528,TCP,7,5,0,0.6571,27,127,0
305,HTTP,1,1,0,0.1636,110,3849,0
83,HTTP,3,1,0,0.078,96,693,0
1161,HTTP,3,0,0,0.0633,60,4733,0
709,TCP,2,0,0,0.1869,41,3471,0
176,TCP,2,0,0,0.0188,79,3243,0
749,TCP,3,0,0,0.1623,178,2218,0
617,TCP,3,1,0,0.0158,69,2265,0
1181,UDP,2,0,0,0.2273,175,3289,0
1136,HTTP,2,0,0,0.1977,138,589,0
765,TCP,2,0,0,0.0561,101,1479,0
333,HTTP,2,1,0,0.2391,59,3886,0
565,TCP,1,0,0,0.0992,107,1913,0
602,TCP,5,3,1,0.5578,22,764,0
319,TCP,6,4,1,0.4587,6,164,0
279,UDP,2,0,0,0.0926,67,3983,0
942,HTTP,3,0,0,0.1522,98,737,0
411,TCP,3,0,0,0.1663,56,1907,0
632,ICMP,4,3,1,0.5168,13,639,0
233,UDP,1,0,0,0.1823,77,2543,0
674,HTTP,3,0,0,0.1133,90,4868,0
963,TCP,1,0,0,0.2027,180,3372,0
1087,TCP,2,1,0,0.1541,88,3093,0
1340,HTTP,3,0,0,0.0322,54,3726,0
502,UDP,3,1,0,0.09,145,4165,0
653,TCP,3,1,0,0.2239,131,3327,0
308,HTTP,3,0,0,0.0448,162,876,0
635,UDP,1,1,0,0.1425,127,3255,0
313,HTTP,3,1,0,0.1404,63,4415,0
302,TCP,1,1,0,0.241,150,660,0
428,UDP,1,1,0,0.2449,81,3716,0
666,TCP,3,1,0,0.0421,32,2738,0
766,UDP,2,1,0,0.2057,68,4284,0
861,UDP,2,0,0,0.2093,30,848,0
324,HTTP,2,1,0,0.017,178,634,0
634,HTTP,2,1,0,0.0676,40,4630,0
1311,HTTP,1,1,0,0.0995,117,2909,0
1021,TCP,2,0,0,0.1029,70,2320,0
1268,UDP,2,0,0,0.0829,41,4070,0
361,HTTP,2,1,0,0.1592,175,2533,0
98,HTTP,2,1,0,0.2391,174,4198,0
772,HTTP,3,1,0,0.0372,172,947,0
759,UDP,4,2,1,0.4949,13,655,0
145,HTTP,2,0,0,0.1759,163,2740,0
189,HTTP,2,0,0,0.0761,98,3478,0
79,HTTP,3,1,0,0.0664,125,4685,0
381,ICMP,4,5,0,0.4703,29,287,0
1319,TCP,2,0,0,0.1172,161,4343,0
1054,TCP,2,0,0,0.2157,38,3165,0
628,HTTP,2,1,0,0.0566,99,3858,0
1395,TCP,2,1,0,0.1148,33,4793,0
1038,TCP,3,1,0,0.1514,77,4343,0
910,HTTP,3,1,0,0.0447,173,4462,0
273,UDP,2,0,0,0.0371,154,2848,0
1272,UDP,3,1,0,0.1779,133,3625,0
232,UDP,1,1,0,0.0729,129,1783,0
1042,TCP,2,0,0,0.1744,67,2640,0
993,HTTP,3,1,0,0.0466,86,2932,0
417,TCP,5,5,1,0.6018,15,495,0
1035,HTTP,2,0,0,0.2106,118,1911,0
3952,TCP,22,20,1,0.7671,7,332599,1
809,UDP,1,1,0,0.1558,61,2960,0
7947,TCP,21,13,1,0.7946,2,420531,1
560,ICMP,6,2,0,0.6474,28,370,0
905,UDP,3,0,0,0.0556,143,4291,0
388,TCP,9,5,1,0.5201,28,555,0
486,TCP,1,1,0,0.1081,151,1800,0
1238,TCP,1,1,0,0.0204,137,1416,0
791,TCP,5,4,0,0.6624,16,407,0
137,TCP,2,1,0,0.0921,127,1054,0
938,HTTP,3,0,0,0.04,111,3892,0
6456,TCP,22,16,1,0.8511,6,162429,1
4678,TCP,14,8,1,0.9232,1,91497,1
1443,HTTP,2,0,0,0.1386,75,4403,0
1415,HTTP,2,1,0,0.1195,77,3885,0
671,UDP,7,2,0,0.5132,22,336,0
786,UDP,6,5,0,0.5286,15,223,0
311,UDP,4,2,1,0.4413,22,459,0
4563,ICMP,19,12,1,0.8894,6,180197,1
1103,UDP,2,1,0,0.0768,136,2478,0
214,TCP,2,0,0,0.095,69,3691,0
1467,TCP,2,0,0,0.1308,104,1832,0
120,HTTP,1,1,0,0.0221,65,2977,0
153,TCP,1,0,0,0.071,86,2646,0
5193,ICMP,13,7,1,0.7901,5,432878,1
659,UDP,3,1,0,0.01,129,2458,0
717,UDP,4,5,0,0.5169,9,769,0
924,TCP,1,1,0,0.0286,48,4117,0
819,TCP,3,0,0,0.0143,159,947,0
159,TCP,7,2,1,0.5763,22,159,0
174,HTTP,2,1,0,0.2349,38,4616,0
961,UDP,3,0,0,0.2047,134,4590,0
265,TCP,3,1,0,0.2379,121,1550,0
272,TCP,5,5,1,0.6027,17,123,0
1005,HTTP,1,1,0,0.1962,107,3727,0
527,UDP,3,0,0,0.0254,174,1379,0
851,HTTP,3,0,0,0.2051,65,4550,0
461,ICMP,5,5,1,0.4879,18,555,0
994,HTTP,2,1,0,0.0962,87,2022,0
475,TCP,8,2,1,0.4575,30,694,0
2394,ICMP,14,11,1,0.7561,4,244507,1
622,ICMP,5,4,0,0.6962,23,771,0
162,TCP,2,0,0,0.0476,134,1790,0
784,UDP,8,5,0,0.5467,19,231,0
5488,ICMP,11,18,1,0.8179,3,375842,1
1071,TCP,3,0,0,0.0379,174,2989,0
1337,TCP,2,1,0,0.1172,159,4060,0
1304,TCP,1,1,0,0.1904,144,1720,0
474,HTTP,2,0,0,0.0582,138,4588,0
7449,TCP,11,19,1,0.8176,5,343306,1
976,UDP,2,1,0,0.1931,180,4599,0
603,HTTP,2,1,0,0.1133,165,2383,0
979,UDP,3,1,0,0.149,157,743,0
155,UDP,1,0,0,0.1597,148,3622,0
6930,ICMP,12,20,1,0.9304,1,305664,1
5980,TCP,21,8,1,0.9224,3,437484,1
1264,HTTP,3,0,0,0.2212,45,3007,0
471,TCP,7,4,1,0.6205,30,293,0
372,ICMP,9,3,1,0.4973,6,307,0
493,TCP,1,1,0,0.1727,58,1136,0
616,TCP,8,4,1,0.4981,27,253,0
68,TCP,3,0,0,0.0801,129,4159,0
83,TCP,7,4,0,0.5977,6,207,0
3656,ICMP,11,15,1,0.8892,4,268252,1
588,ICMP,8,5,1,0.4654,29,437,0
1282,TCP,2,1,0,0.1775,99,3890,0
462,ICMP,6,4,0,0.6746,11,570,0
1206,HTTP,1,0,0,0.0097,97,3615,0
626,UDP,1,0,0,0.1132,113,3636,0
5016,TCP,18,12,1,0.8295,8,290201,1
1270,TCP,3,0,0,0.0858,124,1337,0
484,UDP,1,0,0,0.0907,48,3431,0
413,HTTP,2,0,0,0.1184,59,3026,0
3859,ICMP,11,9,1,0.9858,2,329452,1
893,TCP,2,1,0,0.2178,164,2253,0
1485,TCP,3,1,0,0.0828,45,4339,0
6274,ICMP,19,10,1,0.9579,3,231691,1
933,HTTP,1,1,0,0.2117,90,4610,0
1224,UDP,1,1,0,0.0565,34,745,0
203,TCP,2,0,0,0.1313,144,3379,0
561,TCP,2,1,0,0.2354,150,876,0
306,TCP,2,0,0,0.1818,111,3891,0
254,UDP,7,4,1,0.5828,18,105,0
1037,TCP,2,1,0,0.1153,73,2812,0
768,UDP,8,3,0,0.5235,12,289,0
841,TCP,2,1,0,0.2124,49,4849,0
651,UDP,1,0,0,0.1264,101,2564,0
291,HTTP,1,0,0,0.1185,31,4225,0
117,UDP,2,0,0,0.178,65,4800,0
81,HTTP,1,0,0,0.2355,119,2081,0
1246,HTTP,2,1,0,0.0166,68,2797,0
1473,UDP,1,1,0,0.1782,171,3130,0
607,TCP,2,0,0,0.0094,173,4979,0
1369,UDP,1,0,0,0.1087,63,2439,0
3789,TCP,21,7,1,0.9751,4,174966,1
647,UDP,2,1,0,0.0087,137,1970,0
204,UDP,9,2,0,0.6605,13,515,0
413,TCP,2,0,0,0.0044,50,3771,0
612,HTTP,2,1,0,0.0292,118,4172,0
738,HTTP,2,0,0,0.174,44,1395,0
561,UDP,2,0,0,0.0188,147,3031,0
1266,UDP,3,0,0,0.0987,86,1658,0
915,TCP,2,0,0,0.1823,122,1299,0
526,HTTP,3,1,0,0.2418,172,3496,0
635,UDP,2,1,0,0.0654,139,938,0
482,UDP,8,2,1,0.6965,30,202,0
1722,ICMP,24,16,1,0.7759,1,297094,1
1461,UDP,3,1,0,0.1078,135,909,0
167,UDP,1,1,0,0.1337,85,1050,0
618,HTTP,1,0,0,0.0089,159,2345,0
